メーカー名,メーカーコード,連番,商品コード
BSO,b,001,b001
高江洲酒販,t,002,t002
渡具知,t,003,t003
琉球フロント沖縄,r,004,r004
シースタイル,s,005,s005
渡具知,t,006,t006
名護パイナップルワイナリー,n,007,n007
アクアメディカル研究所,a,008,a008
アサヒオリオン飲料,a,009,a009
ソーエイドー(35コーヒー),s,010,s010
琉球ヘルシーフーズ,r,011,r011
南風堂,n,012,n012
沖縄子育て良品,o,013,o013
沖縄ベルク,o,014,o014
金城ミート,k,015,k015
うりずん(琉宮城蝶々園),u,016,u016
グランディール,g,017,g017
座間味こんぶ,z,018,z018
ナンポー通商,n,019,n019
沖縄農園,o,020,o020
ファッションキャンディ,f,021,f021
沖縄パウダーフーズ,o,022,o022
やえやまファーム(ケレス沖縄),k,023,k023
琉球黒糖,r,024,r024
ひまわり総合食品,h,025,h025
AWSH,a,026,a026
沖縄ﾄｰﾀﾙｻｰﾋﾞｽ,o,027,o027
アセローラフレッシュ,a,028,a028
比嘉製茶,h,029,h029
丸忠,m,030,m030
たいら園,t,031,t031
サポートフーズ,s,032,s032
シモン食品研究所,s,033,s033
湧川商会,w,034,w034
グリーンプラン新城,g,035,g035
サナイラ,s,036,s036
丸海きあら,m,037,m037
バイオテクノ小禄,b,038,b038
アルフレッサヘルス,a,039,a039
熱帯資源植物研究所,a,040,a040
レイカジャパン,r,041,r041
イエーロ,y,042,y042
丸政商事,m,043,m043
Big1,b,044,b044
珍品堂,c,045,c045
寺岡家,t,046,t046
なんでも屋,n,047,n047
南都物産,n,048,n048
ユーワ,y,049,y049
ネイチャーラボ,n,050,n050
ヤビク商事,y,051,y051
美ら花紅茶,c,052,c052
モノタロウ,m,053,m053
日之出紙器,h,054,h054
アースダンボール,a,055,a055
太平シール印刷,t,056,t056
くりま,k,057,k057
沖縄トータルサービス,o,058,o058
シモン食品,s,059,s059
島ネロ,s,060,s060
レイヴィ―,r,061,r061
ZUMI,z,062,z062
エムザイム,e,063,e063
オキナワパウダーフーズ,o,064,o064
丸吉塩せんべい,m,065,m065
山香,y,066,y066
ロカヒ,l,067,l067
ウエルネスボーテ,w,068,w068
Amazon,a,069,a069
コカ・コーラ,c,070,c070
しまのや,s,071,s071
株式会社ザップ,z,072,z072
(株)ユナイテッドシステム,u,073,u073
空番,,074,074
空番,,075,075
空番,,076,076
空番,,077,077
空番,,078,078
空番,,079,079
空番,,080,080
空番,,081,081
空番,,082,082
空番,,083,083
空番,,084,084
空番,,085,085
空番,,086,086
空番,,087,087
空番,,088,088
空番,,089,089
空番,,090,090
空番,,091,091
空番,,092,092
空番,,093,093
空番,,094,094
空番,,095,095
空番,,096,096
空番,,097,097
日本郵便,n,098,n098
不明・その他,X,099,X099
空番,,100,100
